prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,294,shortlisted,Amis,Martin,"Amis, Martin",man,unknown,True,White British,English,Bachelors,University of Oxford,Language and Literature,English Literature,36913662,5,Time's Arrow
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1991,Fiction,33,winner,Boyd,William,"Boyd, William",man,unknown,True,White British,British,unknown,University of Oxford,Language and Literature,English Literature,111500719,36,Brazzaville Beach
3,Costa First Novel Award,Whitbread First Novel,Whitbread,1991,Fiction,167,winner,Burn,Gordon,"Burn, Gordon",man,unknown,True,White British,English,none,none,none,none,51988764,42,Alma Cogan
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,286,shortlisted,Doyle,Roddy,"Doyle, Roddy",man,unknown,False,Irish,Irish,Bachelors,University College Dublin,Multiple,English and Geography,17301306,77,The Van
4,Costa Novel Award,Whitbread Novel,Whitbread,1991,Fiction,168,winner,Gardam,Jane,"Gardam, Jane",woman,unknown,True,White British,English,Bachelors,University of London,Language and Literature,English Literature,70213168,114,The Queen of the Tambourine
7,Costa Children's Book Award,Whitbread Children's Novel,Whitbread,1991,Children'S,170,winner,Hendry,Diana,"Hendry, Diana",woman,unknown,True,White British,English,unknown,University of Bristol,unknown,unknown,117170358,138,Harvey Angell
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1991,Poetry,169,winner,Longley,Michael,"Longley, Michael",man,unknown,True,White British,Northern Irish,Bachelors,"Trinity College, Dublin",Language and Literature,Classics,39398205,182,Gorse Fires
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,260,shortlisted,Mistry,Rohinton,"Mistry, Rohinton",man,unknown,False,Asian,Indian Canadian,Bachelors,Bombay University/University of Toronto,Multiple,Mathematics and Economics/English and Philosophy,29581388,225,Such a Long Journey
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,23,shortlisted,Mo,Timothy,"Mo, Timothy",man,unknown,True,Asian,Cantonese British,Bachelors,University of Oxford,unknown,unknown,76339491,229,The Redundancy of Courage
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,293,winner,Okri,Ben,"Okri, Ben",man,unknown,False,African,Nigerian British,Bachelors,Queen's University,unknown,unknown,76380613,251,The Famished Road
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1991,No/Any/Multi Genre,166,winner,Richardson,John,"Richardson, John",man,queer,True,White British,British,unknown,Slade School of Art,unknown,unknown,109464483,270,A Life of Picasso I: The Prodigy
5,Costa Biography Award,Whitbread Biography,Whitbread,1991,Biography,166,winner,Richardson,John,"Richardson, John",man,queer,True,White British,British,unknown,Slade School of Art,unknown,unknown,109464483,270,A Life of Picasso I: The Prodigy
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1991,Sff,512,winner,Simmons,Dan,"Simmons, Dan",man,unknown,False,Non-UK White,White American,Masters,Washington University,Education,Education,107011235,659,The Fall of Hyperion
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,153,shortlisted,Trevor,William,"Trevor, William",man,unknown,True,Irish,Irish,Bachelors,"Trinity College, Dublin",History and Cultural Studies,History,101362985,339,Reading Turgenev
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1991,Crime,490,winner,Vine,Barbara,"Vine, Barbara",woman,unknown,True,White British,British,none,none,none,none,98146313,626,King Solomon's Carpet
7,Costa Children's Book Award,Whitbread Children's Novel,Whitbread,1992,Children'S,165,winner,Cross,Gillian,"Cross, Gillian",woman,unknown,True,White British,British,Doctorate,University of Sussex,unknown,unknown,13038315,63,The Great Elephant Chase
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1992,Crime,489,winner,Dexter,Colin,"Dexter, Colin",man,queer,True,White British,English,Bachelors,University of Cambridge,Language and Literature,Classics,35243485,625,The Way Through the Woods
5,Costa Biography Award,Whitbread Biography,Whitbread,1992,Biography,163,winner,Glendinning,Victoria,"Glendinning, Victoria",woman,unknown,True,White British,British,Bachelors,University of Oxford,Language and Literature,Modern Languages,4943929,119,Trollope
4,Costa Novel Award,Whitbread Novel,Whitbread,1992,Fiction,162,winner,Gray,Alasdair,"Gray, Alasdair",man,unknown,True,White British,Scottish,unknown,Glasgow Scool of Art,Arts,Design and Mural Painting,114328115,121,Poor Things
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1992,Poetry,164,winner,Harrison,Tony,"Harrison, Tony",man,unknown,True,White British,English,Postgraduate,unknown,unknown,unknown,109297940,132,The Gaze of the Gorgon
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,291,shortlisted,Hope,Christopher,"Hope, Christopher",man,unknown,True,Non-UK White,White South African,unknown,University of the Witwatersrand,unknown,unknown,108733442,145,Serenity House
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,270,shortlisted,McCabe,Patrick,"McCabe, Patrick",man,unknown,False,Irish,Irish,unknown,St Patrick's Training College,unknown,unknown,113858716,202,The Butcher Boy
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,17,shortlisted,McEwan,Ian,"McEwan, Ian",man,unknown,True,White British,English,Masters,University of East Anglia,Writing,Creative Writing,109587997,210,Black Dogs
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,290,winner,Ondaatje,Michael,"Ondaatje, Michael",man,unknown,False,Asian,Dutch Sri Lankan Canadian,Masters,McGill University,Language and Literature,English Literature,111941870,252,The English Patient
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,292,shortlisted,Roberts,Michèle,"Roberts, Michèle",woman,unknown,True,White British,French British,Bachelors,University of Oxford,Language and Literature,English Literature,61642536,274,Daughters of the House
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1992,Sff,511,winner,Robinson,Kim Stanley,"Robinson, Kim Stanley",man,unknown,False,Non-UK White,White American,Doctorate,"University of California, San Diego",Language and Literature,Science Fiction,44318934,658,Red Mars
